index,type,name,resident,streamed,parentStack
1,string,,70253,0,||assetlist
2,xmodelmesh,p7_monitor_wall_safehouse_01_flat_lod0f3f4e3b8,1520,0,|p7_monitor_wall_safehouse_01_flat_nrc_desktop|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
3,xmodelmesh,p7_sin_trashcan_wood_lod04951b2aa,3584,0,|p7_sin_trashcan_wood|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
4,xmodelmesh,p7_sofa_leather_3seater_clean_lod5b7b92405,2128,0,|p7_sofa_leather_3seater_dirty|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
5,xmodelmesh,p7_anim_sin_bar_room_door_lt_lod0ae0166fd,1712,0,|p7_anim_sin_bar_room_door|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
6,xmodelmesh,p7_fence_metal_corrugated_framed_bent_white_lod5310d1f2b,1712,0,|p7_fence_metal_corrugated_framed_bent_white|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
7,xmodelmesh,p7_desk_metal_military_03_lod5dbf2a3b7,688,4768,|p7_desk_metal_military_03|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
8,xmodelmesh,p7_cai_chair_lounge_greek_lod634aabedc,2112,0,|p7_cai_chair_lounge_greek|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
9,xmodelmesh,p7_coffee_table_modern_lod2e709b475,3248,0,|p7_coffee_table_modern|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
10,xmodelmesh,p7_chair_waiting_room_01_lod073e9649,1584,0,|p7_chair_waiting_room_01_blue|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
11,xmodelmesh,p7_3arc_lobby_tv_lod01f292f18,1632,0,|p7_tv_led_flat_on|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
12,xmodelmesh,p7_cai_apt_door_generic_lt_frame_01_lod0519457bb,2032,0,|p7_cai_apt_door_generic_lt_frame_01|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
13,xmodelmesh,veh_t7_civ_truck_med_vista_frame_short5c14d893,1472,0,|veh_t7_civ_truck_med_vista_frame_short|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
14,xmodelmesh,veh_t7_civ_truck_med_vista_bed_short4dba011a,1488,0,|veh_t7_civ_truck_med_vista_bed_short|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
15,xmodelmesh,veh_t7_civ_truck_med_vista_cab3dbce43,1472,0,|veh_t7_civ_truck_med_vista_cargo_cairo|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
16,xmodelmesh,veh_t7_turret_sentry_gun_lod2a58f16bd,1408,42016,|veh_t7_turret_sentry_gun_world|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
17,xmodelmesh,p7_zm_der_pswitch_body_lod0324925aa,2560,0,|p7_zm_der_pswitch_body|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
18,xmodelmesh,p7_beams_construction_stack_wood_white_ends_lod5c04f9066,912,0,|p7_beams_construction_stack_wood_white_ends|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
19,xmodelmesh,p7_construction_hardhat_lod4d2aa635a,1696,0,|p7_construction_hardhat|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
20,xmodelmesh,p7_pallet_truck_lod5abdb747c,3600,0,|p7_pallet_truck_dirty|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
21,xmodelmesh,p7_hand_truck_horizontal_lod5a111ca29,2624,0,|p7_hand_truck_horizontal|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
22,xmodelmesh,veh_t7_civ_truck_med_attch_util_topattach01_lod09cc41b9e,2112,0,|veh_t7_civ_truck_med_attch_util_topattach01_sing_aband|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
23,xmodelmesh,veh_t7_civ_truck_med_attch_boom_lod1eca3fc59,656,11936,|veh_t7_civ_truck_med_attch_boom_sing|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
24,xmodelmesh,veh_t7_civ_truck_med_wheel_back_util_attach_lod1bf2b3981,4576,0,|veh_t7_civ_truck_med_wheel_back_util_attch_sing_aband|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
25,xmodelmesh,veh_t7_civ_truck_med_wheel_front_util_attach_lod16598e993,3520,0,|veh_t7_civ_truck_med_wheel_front_util_attch_sing_aband|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
26,xmodelmesh,veh_t7_civ_truck_med_base_util_lod1b17b8eb0,3440,305344,|veh_t7_civ_truck_med_utility1_sing_aband|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
27,xmodelmesh,veh_t7_civ_truck_med_base_util_lod1c31f5a77,2000,35504,|veh_t7_civ_truck_med_utility2_sing|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
28,xmodelmesh,veh_t7_civ_truck_med_attch_util_bumper01_lod0412def1e,2016,0,|veh_t7_civ_truck_med_attch_util_bumper01_sing_aband|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
29,xmodelmesh,veh_t7_civ_truck_med_attch_util_topattach02_lod05873398c,2736,0,|veh_t7_civ_truck_med_attch_util_topattach02_sing_aband|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
30,xmodelmesh,p7_box_cardboard_a_closed_lod2f72ee8d1,1376,0,|p7_box_cardboard_a_closed|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
31,xmodelmesh,p7_box_cardboard_b_closed_lod27d5ea3be,1216,0,|p7_box_cardboard_b_closed|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
32,xmodelmesh,p7_box_cardboard_d_closed_lod2d9bec82f,1488,0,|p7_box_cardboard_d_closed|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
33,xmodelmesh,p7_cart_utility_electric_01_body_lod794852cd4,352,5888,|p7_cart_utility_electric_02|xmodel|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
34,xmodelmesh,p7_toilet_bathroom_lod0613478ac,3392,0,|p7_toilet_bathroom|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
35,xmodelmesh,p7_desk_metal_military_0127539847,1840,0,|p7_desk_metal_military_01|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
36,xmodelmesh,p7_anim_sin_bar_room_chair_lod0a5640688,3072,0,|p7_anim_sin_bar_room_chair|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
37,xmodelmesh,veh_t7_civ_truck_med_attch_fuelcell_lod1587fbdcd,368,6592,|veh_t7_civ_truck_med_attch_fuelcell|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
38,xmodelmesh,veh_t7_civ_truck_med_attch_cargo_short_lod1734f909f,1232,66192,|veh_t7_civ_truck_med_attch_cargo_short_egypt|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
39,xmodelmesh,veh_t7_civ_truck_med_wheel_back_attach_lod18f4ec143,2208,0,|veh_t7_civ_truck_med_wheel_back_attch|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
40,xmodelmesh,veh_t7_civ_truck_med_wheel_front_attach_lod1a6b4a6e5,1840,0,|veh_t7_civ_truck_med_wheel_front_attch|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
41,xmodelmesh,veh_t7_civ_truck_med_base_short_lod1174f8609,2224,280832,|veh_t7_civ_truck_med_cargo_short_egypt|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
42,xmodelmesh,veh_t7_civ_truck_med_attch_delivery_lod15661e534,816,7680,|veh_t7_civ_truck_med_attch_delivery_euro|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
43,xmodelmesh,veh_t7_civ_truck_med_base_short_lod1eb52eb8e,1440,30144,|veh_t7_civ_truck_med_delivery_euro|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
44,xmodelmesh,veh_t7_civ_truck_med_attch_flatbed_lod142bdb94a,1696,0,|veh_t7_civ_truck_med_attch_flatbed_ethiopia|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
45,xmodelmesh,veh_t7_civ_truck_med_base_short_lod17f72d87e,1552,30592,|veh_t7_civ_truck_med_flatbed_ethiopia|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
46,xmodelmesh,p7_zm_zod_pastry_carts_lod042e741e9,2800,0,|p7_zm_zod_pastry_cart_devil_red|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
47,xmodelmesh,veh_t7_civ_license_plates_mount_short_lod011e6c264,1392,0,|veh_t7_civ_license_plate_mount_short|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
48,xmodelmesh,veh_t7_civ_license_plates_cairo_back_lod0cb8e680f,1776,0,|veh_t7_civ_license_plate_back_cairo|xmodel|veh_t7_civ_city_car_destructible_green|xmodel|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
49,xmodelmesh,veh_t7_civ_license_plates_cairo_front_lod0d7d69382,1840,0,|veh_t7_civ_license_plate_front_cairo|xmodel|veh_t7_civ_city_car_destructible_green|xmodel|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
50,xmodelmesh,veh_t7_civ_car_compact_lod054c04806,1968,33104,|veh_t7_civ_car_compact_blue_sing|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
51,xmodelmesh,veh_t7_civ_license_plates_mount_long_lod0bfacd4fc,1456,0,|veh_t7_civ_license_plate_mount_long|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
52,xmodelmesh,veh_t7_civ_license_plates_singapore_back_lod0b36d7c65,2112,0,|veh_t7_civ_license_plate_back_singapore_compact_blu|xmodel|veh_t7_civ_city_car_destructible_blue_sing|xmodel|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
53,xmodelmesh,veh_t7_civ_license_plates_singapore_front_lod097520133,2240,0,|veh_t7_civ_license_plate_front_singapore_compact_blu|xmodel|veh_t7_civ_city_car_destructible_blue_sing|xmodel|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
54,xmodelmesh,p7_foliage_flower_bougainvillea_bushyvarient_lod6c545da50,368,16816,|p7_foliage_flower_bougainvillea_bushyvarient_snow|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
55,xmodelmesh,p7_foliage_tree_elm_english_autumn_tall_lod7c2a66c56,2144,0,|p7_foliage_tree_elm_english_tall_vista|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
56,xmodelmesh,p7_cai_table_cafe_01_lod793af8428,352,4272,|p7_cai_table_cafe_01|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
57,xmodelmesh,veh_t7_zmb_1940_bus_lod06242de3e,1632,34224,|veh_t7_zmb_1940_bus_yellow|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
58,xmodelmesh,veh_t7_civ_truck_med_attch_extd_delivery_lod1cb7b34b6,704,7440,|veh_t7_civ_truck_med_attch_extd_delivery|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
59,xmodelmesh,veh_t7_civ_city_car_base_lod01998d763,3280,38080,|veh_t7_civ_city_car_destructible_green|xmodel|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
60,xmodelmesh,veh_t7_civ_license_plates_zurich_back_lod064b9ac1f,2128,0,|veh_t7_civ_license_plate_back_zurich_compact_org|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
61,xmodelmesh,veh_t7_civ_license_plates_zurich_front_lod0d78e1e70,2064,0,|veh_t7_civ_license_plate_front_zurich_compact_org|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
62,xmodelmesh,veh_t7_civ_city_car_dead_lod0878a2ede,944,24432,|veh_t7_civ_city_car_dead_green|xmodel|veh_t7_civ_city_car_destructible_green|xmodel|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
63,xmodelmesh,p7_cai_vista_building_slum_01a_lod0bff59e65,1888,0,|p7_cai_vista_building_slum_01a_brown_backlit|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
64,xmodelmesh,p7_cai_vista_building_slum_01c_lod06ecc3e53,1888,0,|p7_cai_vista_building_slum_01c_backlit|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
65,xmodelmesh,p7_flag_pole_base_01_lod0c1ead51f,2352,0,|p7_flag_pole_base_01|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
66,xmodelmesh,p7_flag_pole_25_feet_lod0c6e100d6,2848,0,|p7_flag_pole_25_feet_01|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
67,xmodelmesh,p7_bag_satchel_modern_black_lod4774a578c,2176,0,|p7_bag_satchel_modern_black|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
68,xmodelmesh,p7_debris_trash_snack_bag_06_lod04ee2c663,1104,0,|p7_debris_trash_snack_bag_06|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
69,xmodelmesh,p7_debris_trash_snack_bag_07_lod09d4dd336,944,0,|p7_debris_trash_snack_bag_07|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
70,xmodelmesh,p7_debris_trash_snack_bag_02_lod03a0d7794,1072,0,|p7_debris_trash_snack_bag_02|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
71,xmodelmesh,p7_debris_trash_paperbag_01_lod05418966f,1168,0,|p7_debris_trash_paperbag_01_wet|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
72,xmodelmesh,p7_breadbag_flat_lod0bc807a4e,1168,0,|p7_breadbag_flat|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
73,xmodelmesh,p7_purel_dispenser_lod050ce856c,1248,0,|p7_purel_dispenser|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
74,xmodelmesh,p7_sandbag_stack_32_middle_lod2b054c4b3,352,7312,|p7_sandbag_short|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
